country,year,primary_energy_consumption,ai_prediction
Guinea,2016,15.34,14.339879
Guinea,2017,15.438,16.384327
Guinea,2018,14.088,16.093487
Guinea-Bissau,2016,1.704,1.8922951
Guinea-Bissau,2017,1.379,1.7588336
Guinea-Bissau,2018,1.386,1.7837489
Haiti,2016,14.088,13.544721
Haiti,2017,13.984,13.786801
Haiti,2018,14.597,13.786801
Honduras,2016,49.596,51.04431
Honduras,2017,52.526,51.912548
Honduras,2018,57.746,54.959778
Hong Kong,2016,335.114,331.30664
Hong Kong,2017,359.495,351.0257
Hong Kong,2018,363.676,367.4879
Hungary,2016,255.495,255.11986
Hungary,2017,269.293,263.40036
Hungary,2018,271.203,272.52463
Iceland,2016,61.442,61.3435
Iceland,2017,64.246,64.10536
Iceland,2018,66.459,67.17276
India,2016,8278.461,8287.202
India,2017,8594.206,8587.662
India,2018,9081.509,9080.416
Indonesia,2016,1888.482,1890.7914
Indonesia,2017,1954.256,1954.586
Indonesia,2018,2143.717,2134.3113
Iran,2016,2878.794,2869.401
Iran,2017,2986.091,2992.8933
Iran,2018,3087.446,3086.7048
Iraq,2016,532.021,529.0095
Iraq,2017,597.89,579.8217
Iraq,2018,604.674,614.85803
Ireland,2016,181.641,177.58337
Ireland,2017,182.408,188.50145
Ireland,2018,186.485,188.05244
Israel,2016,281.284,279.8373
Israel,2017,286.979,286.55307
Israel,2018,291.692,290.96384
Italy,2016,1821.932,1826.3076
Italy,2017,1843.121,1834.0706
Italy,2018,1853.64,1855.8217
Jamaica,2016,37.267,36.594795
Jamaica,2017,33.539,38.640312
Jamaica,2018,34.684,34.007103
Japan,2016,5228.627,5240.1714
Japan,2017,5292.342,5286.106
Japan,2018,5264.132,5264.966
Jordan,2016,116.346,114.96546
Jordan,2017,120.371,120.48103
Jordan,2018,117.5,122.51109
Kazakhstan,2016,721.457,705.83405
Kazakhstan,2017,776.676,768.426
Kazakhstan,2018,803.081,808.64795
Kenya,2016,94.189,94.881905
Kenya,2017,94.943,97.80494
Kenya,2018,102.268,99.845894
Kuwait,2016,443.289,449.41528
Kuwait,2017,450.903,443.4952
Kuwait,2018,461.703,464.06592
Kyrgyzstan,2016,66.994,68.04626
Kyrgyzstan,2017,69.386,68.14771
Kyrgyzstan,2018,73.306,70.47671
Laos,2016,120.129,105.216125
Laos,2017,121.922,127.5158
Laos,2018,126.884,128.55522
Latvia,2016,44.499,43.26351
Latvia,2017,48.978,47.932602
Latvia,2018,43.564,49.396008
Lebanon,2016,104.424,103.97455
Lebanon,2017,111.531,108.02826
Lebanon,2018,105.197,112.28706
Lesotho,2016,4.593,4.162494
Lesotho,2017,4.892,4.3817277
Lesotho,2018,4.796,4.3817277
Liberia,2016,5.59,5.864401
Liberia,2017,4.831,6.1405478
Liberia,2018,5.488,5.644462
Libya,2016,176.389,176.07622
Libya,2017,199.04,192.13724
Libya,2018,205.105,204.9672
Lithuania,2016,65.15,65.51202
Lithuania,2017,68.647,65.63435
Lithuania,2018,70.799,70.32594
Luxembourg,2016,42.459,43.35024
Luxembourg,2017,44.355,44.083977
Luxembourg,2018,46.431,44.547443
Madagascar,2016,17.631,17.076406
Madagascar,2017,16.165,18.045988
Madagascar,2018,15.56,16.95196
Malawi,2016,10.123,10.367731
Malawi,2017,10.432,11.103504
Malawi,2018,9.962,11.088637
Malaysia,2016,1172.769,1161.0405
Malaysia,2017,1188.313,1195.6012
Malaysia,2018,1209.563,1197.6051
Mali,2016,21.92,18.884556
Mali,2017,23.834,23.639254
Mali,2018,24.794,25.72167
Malta,2016,32.549,32.6829
Malta,2017,37.074,36.393623
Malta,2018,38.703,39.762985
Mauritania,2016,10.89,12.30407
Mauritania,2017,16.321,12.340715
Mauritania,2018,17.4,17.509628
Mauritius,2016,24.531,23.889668
Mauritius,2017,26.914,25.117773
Mauritius,2018,28.407,28.520851
Mexico,2016,2252.842,2244.457
Mexico,2017,2295.823,2291.4731
Mexico,2018,2265.69,2271.9958
Moldova,2016,38.051,38.60459
Moldova,2017,38.689,38.623566
Moldova,2018,41.251,39.846428
Mongolia,2016,59.658,57.878777
Mongolia,2017,65.152,61.088078
Mongolia,2018,71.146,66.632484
Montenegro,2016,13.316,13.101845
Montenegro,2017,12.434,12.981978
Montenegro,2018,13.799,12.132735
Morocco,2016,223.324,226.82576
Morocco,2017,233.801,236.50792
Morocco,2018,241.814,242.31764
Mozambique,2016,84.95,86.37176
Mozambique,2017,85.286,85.46981
Mozambique,2018,70.118,80.03682
Myanmar,2016,129.814,127.381645
Myanmar,2017,167.527,151.52858
Myanmar,2018,172.26,181.2635
Namibia,2016,22.91,23.384317
Namibia,2017,23.574,23.388796
Namibia,2018,23.277,23.640917
Nepal,2016,39.734,30.190802
Nepal,2017,45.509,41.75706
Nepal,2018,49.989,48.171886
Netherlands,2016,1043.622,1040.0631
Netherlands,2017,1051.377,1037.927
Netherlands,2018,1025.894,1035.666
New Zealand,2016,254.936,258.7901
New Zealand,2017,259.836,260.5486
New Zealand,2018,258.494,258.6046
Nicaragua,2016,28.443,29.327614
Nicaragua,2017,28.36,29.404657
